form_type,num_questions,num_responses,avg_ans_length,submission_hour,label
1,10,17,96,20,2
1,6,74,35,6,0
3,11,17,126,8,1
2,7,84,141,18,1
4,11,88,55,15,1
2,6,69,33,7,1
3,12,34,44,17,1
3,7,6,45,22,1
2,11,53,15,17,1
3,10,66,5,19,1
2,5,77,50,6,1
0,3,43,105,2,1
2,5,75,94,17,2
2,6,23,114,9,2
3,4,55,61,6,1
3,3,80,5,16,1
1,9,95,67,13,2
1,10,75,59,23,1
0,9,16,119,2,1
1,7,8,147,11,1
2,14,4,57,12,1
3,3,4,141,1,1
1,9,56,61,2,1
1,9,25,121,4,1
0,11,67,39,10,2
0,5,96,67,7,2
2,11,67,29,22,1
3,3,27,94,22,1
0,3,93,79,11,2
1,6,32,42,6,0
3,11,50,134,14,1
3,8,61,139,23,2
1,13,51,95,16,2
0,5,19,21,3,1
1,3,21,132,21,1
3,6,5,112,12,2
4,14,82,29,17,2
4,11,92,92,0,1
2,5,42,33,15,1
1,14,61,67,12,2
1,11,22,118,9,2
2,9,21,53,11,1
2,14,70,85,1,2
2,6,1,88,22,0
3,5,5,109,2,1
1,12,12,122,9,1
3,7,90,90,1,2
2,7,46,67,22,1
1,5,34,108,12,2
3,14,49,53,12,1
3,11,78,75,17,2
2,6,90,5,2,0
1,13,45,145,6,2
2,7,27,127,13,1
1,6,73,66,19,2
4,7,26,36,16,0
0,9,47,33,20,1
0,11,86,53,11,1
0,9,56,34,15,2
2,7,94,148,23,1
4,12,63,23,11,1
1,12,48,22,14,1
3,9,61,5,9,1
1,12,81,82,6,1
3,7,26,119,19,1
1,5,36,117,4,2
4,9,1,118,0,1
3,13,8,67,16,2
2,13,99,136,2,1
1,4,52,133,12,2
1,14,79,12,13,0
3,11,47,59,23,0
2,12,56,107,17,1
2,12,86,135,3,1
4,14,14,36,17,0
2,3,90,14,4,1
2,8,28,114,15,1
2,9,87,128,0,2
0,10,78,91,20,1
4,12,88,59,13,1
1,11,2,36,14,0
3,4,26,139,8,1
1,13,14,97,14,2
4,12,59,12,16,1
3,4,56,69,23,2
4,7,7,61,3,0
2,7,3,71,11,1
3,8,23,76,4,1
2,5,18,58,4,0
1,10,38,71,10,2
1,3,99,55,5,1
3,8,15,101,6,0
3,6,64,96,23,1
4,3,89,12,13,1
4,9,28,39,23,0
2,11,74,100,10,1
3,6,39,92,12,1
1,6,57,82,1,1
